sample,label,FOXA2.10000.txt_amplitude,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,NR1H2.10000.txt_amplitude,NR5A2.10000.txt_amplitude,ZIM3.10000.txt_amplitude,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0883m.hg19.frag,0,1.26178,0.39994,4.91379,0.6938,0.2096,0.27543,1.02472,1.04359,0.94505,0.9586,0.87489,1.01362,0.94767,1.03411,0.97623,0.92636,0.98725,1.03963,1.03027,0.96547,1.04254,0.93758,0.96312,0.89272,0.93015,0.97576,1.0139,0.98799,0.96152,0.89492,1.04225,0.89576,0.96669,1.01573,0.99822,0.82959,0.93601,1.01872,0.99967,0.9286,1.04537,0.8615,1.01521,1.02254,1.00448,0.87676,0.95841
filtered_MAL0887.hg19.frag,1,0.85415,0.52209,6.24383,0.59922,0.18052,0.88382,0.9533,1.01002,0.97133,0.95202,0.79832,1.0104,0.87033,0.9939,0.95828,0.91499,0.94986,1.00235,0.99674,0.93243,0.9387,0.98962,0.89736,0.7888,0.84701,0.93936,1.04008,0.90947,0.94651,0.83537,0.9999,0.90652,0.75702,0.95424,0.95404,0.81018,0.7982,0.94309,0.95141,0.85378,0.99123,0.69402,0.99689,1.00289,1.02593,0.86604,0.93439
filtered_MAL0887m.hg19.frag,0,0.86107,0.62474,6.06087,0.56831,0.16961,0.99599,0.96016,1.01632,0.91809,0.9125,0.74006,1.00853,0.86027,1.00168,0.95242,0.901,0.93188,1.00728,0.998,0.92777,1.0103,0.95653,0.8924,0.79169,0.87211,0.91323,1.01548,0.9094,0.92123,0.8306,1.03941,0.88794,0.76674,0.95081,0.9424,0.77547,0.81694,0.93603,0.946,0.84343,0.98228,0.7313,0.99616,0.98516,0.99023,0.83786,0.92054
filtered_MAL0889.hg19.frag,1,1.05653,0.37794,5.95305,0.60329,0.12855,0.5249,0.97288,1.04589,1.00444,0.9964,0.82367,1.0277,0.86688,1.02384,0.98736,0.94289,0.96521,1.04308,1.04213,0.95666,0.89461,0.99982,0.95757,0.85963,0.8751,0.95681,1.05636,0.91733,0.94922,0.89787,0.99462,0.90412,0.80064,0.97749,0.96986,0.86031,0.85198,0.95752,0.98148,0.90496,1.02879,0.67087,1.01629,1.03259,1.01561,0.88566,0.97434
filtered_MAL0889m.hg19.frag,0,0.68386,0.33572,5.36898,0.19621,0.38468,1.43873,0.94412,0.99203,0.96581,0.93686,0.80324,1.00157,0.87303,1.00117,0.95315,0.88232,0.88344,1.02316,1.00287,0.92409,0.96997,0.97817,0.88975,0.77715,0.85242,0.94505,1.00475,0.91085,0.91931,0.84665,1.04085,0.88225,0.76201,0.93943,0.92826,0.79858,0.8347,0.94177,0.94318,0.85875,0.97944,0.75278,0.95667,1.02347,0.97769,0.83518,0.87973
filtered_MAL1002.hg19.frag,1,0.80471,0.50633,5.7062,0.65687,0.47773,0.78817,0.95295,1.00658,0.97445,0.94943,0.80904,1.00329,0.85508,0.99274,0.96153,0.89775,0.92361,0.99877,0.99809,0.92814,0.96889,0.97517,0.91608,0.80787,0.84679,0.92447,1.02332,0.91799,0.92044,0.84767,1.00768,0.89575,0.75327,0.94569,0.92956,0.83179,0.8157,0.95096,0.94927,0.84939,0.97227,0.71677,1.01412,1.00155,1.00272,0.87189,0.92514
filtered_MAL1002m.hg19.frag,0,0.88143,0.63222,6.11327,0.39349,0.27283,0.99995,0.93297,1.01343,0.94426,0.92558,0.77572,1.00907,0.8715,0.97382,0.95776,0.90668,0.92667,0.98645,0.99112,0.91202,1.11439,0.949,0.90195,0.79229,0.84149,0.92281,1.0153,0.89942,0.92669,0.82397,1.10321,0.8661,0.75086,0.94978,0.94836,0.79643,0.79783,0.93382,0.94452,0.8105,0.98327,0.78129,0.99259,0.97012,0.99287,0.83616,0.89427
filtered_MAL1149.hg19.frag,1,0.9686,0.34331,6.01622,0.7085,0.08342,0.71252,0.95959,1.02651,0.9539,0.93857,0.79076,1.00148,0.87328,0.99207,0.96781,0.89806,0.9263,0.99936,0.98642,0.91789,0.9962,0.96987,0.90293,0.78643,0.8569,0.92716,1.01752,0.9048,0.91688,0.83321,1.05376,0.88182,0.79363,0.95234,0.95359,0.80442,0.8243,0.94485,0.9558,0.85013,0.97386,0.74797,1.00319,1.00066,0.99306,0.85767,0.96844
filtered_MAL1149m.hg19.frag,0,0.74533,0.26616,6.21093,0.60646,0.03605,1.01629,0.96371,1.00481,0.95354,0.94194,0.75118,1.0066,0.87186,0.99836,0.9632,0.92282,0.93744,1.00383,1.01491,0.9065,0.96211,0.95772,0.89395,0.79931,0.87527,0.90733,1.01753,0.92264,0.92932,0.83752,1.01373,0.89095,0.78532,0.96495,0.94731,0.77539,0.82228,0.94466,0.96641,0.859,1.00153,0.73478,0.99304,0.99494,0.99974,0.84084,0.90784
filtered_MAL1164.hg19.frag,1,1.22256,0.6331,5.86311,0.65623,0.14627,0.87628,0.96606,1.02887,0.95336,0.94032,0.7971,1.03063,0.89365,1.00182,0.97106,0.92813,0.94832,1.03234,1.04303,0.94886,0.89366,0.99322,0.89522,0.81814,0.88109,0.93725,1.03996,0.91872,0.94773,0.86033,1.01282,0.90564,0.79671,0.98016,0.96766,0.82285,0.82814,0.93305,0.95332,0.87166,1.00829,0.69934,1.02301,1.00166,1.02229,0.868,0.90155
